title,name,occ,prop,Education,Earnings,Prestige,Status,DSEI,TSEI,MSEI,FSEI,OPR_E,OPR_I,OPR_W,OEP_W,SIOPS,ISEI,ICAMS
1. Management government officials,Management government officials,1,0.13637169732386759,14.58234759023745,6.647606547465632,63.3,62.200001,68.451881,68.07734469140405,69.40958955609975,62.21306571161156,64.41042323721548,87.26230569983026,88.64931860166824,92,67,70,69.02
2. Company officers,Company officers,2,1.622574120730969,14.164815780803472,6.458532830386385,73,61.799999,64.121567,60.631001810547914,63.017383082466125,52.39192728854533,59.38019029419193,77.20844939376327,75.85312192569981,88,70,70,66.87
"3. Officers of other corporations, organizations","Officers of other corporations, organizations",3,0.0778092685418317,14.914070708461784,6.364207977013537,63.3,68.800003,68.965759,61.01014350509252,63.61003798730633,53.85239830404441,68.76717592154154,74.76556557247105,78.6767722656047,92,70,70,66.87
4. Administrative and managerial workers of corporations and organizations,Administrative and managerial workers of corporations and organizations,4,0.5356172182012374,14.402307180601554,6.58781238816087,56.6,53,65.252792,64.2404307426126,65.57849892123986,56.180685430202345,62.05406531977379,83.4782760506964,80.66259965699435,88,63,67,62.86
5. Administrative and managerial workers not classified elsewhere,Administrative and managerial workers not classified elsewhere,5,0.07591947472284125,13.339740775314748,5.511942227947977,53.3,51,50.128162,49.95437169217169,52.85758471377692,44.96257473144135,48.75654399439528,47.802240722790735,41.92302625801288,36,50,51,57.27
6. Natural science researchers,Natural science researchers,6,0.20832670214970067,16.953993455843044,6.437136918158853,67.6,70.5,68.257042,70.85266189547062,72.88085399873523,60.56209847669957,88.91153594677763,78.91692511117586,78.51672812994201,84,63,69,75.42
"7. Humanities, social science, and other researchers","Humanities, social science, and other researchers",7,0.007595398712055846,17.224413947752545,6.382778082307641,67.6,75.599998,71.246132,70.03371583525424,69.8540807347299,65.07050900280541,92.704590297035807,76.30883066421421,75.8414103961342,83,58,65,76.83
"8. Agriculture, forestry, fishery and food engineers","Agriculture, forestry, fishery and food engineers",8,0.10343827142072677,15.066101157768014,6.178589316597415,67.6,55.799999,62.467365,59.2812573779691,60.435100997090956,56.328849156412396,70.2632398285361,69.46461660008322,68.79200821556456,74,47,50,56.58
"9. Electrical, electronic, telecommunications engineers (except communication network engineers)","Electrical, electronic, telecommunications engineers (except communication network engineers)",9,0.6264969368547718,15.222103982853016,6.454940141913794,62.5,56.200001,64.046021,64.74089777941148,65.72666264744991,56.561677869028195,70.68849957412834,80.05595196286521,76.47587128291049,80,65,68,73
10. Machinery engineers,Machinery engineers,10,0.4690703975238976,15.158927897407521,6.378319414983191,62.5,54.900002,63.776367,63.57314136021409,64.56251908437095,53.97939578365302,70.65803539420058,76.96536412735355,73.29905849614413,77,66,67,73
11. Transportation equipment engineers,Transportation equipment engineers,11,0.19931837393811083,15.365967114265375,6.5239969074376924,62.5,56.599998,64.026169,67.167404624497,67.97028478720212,57.89515140491865,72.8027300756703,82.24104753289429,78.14548760009907,80,56,69,73
12. Metal engineers,Metal engineers,12,0.03812432456681956,15.479646470386363,6.465636932624462,62.5,58,65.421333,64.93805146057468,66.00182385326858,49.576816490554364,72.66590965766241,79.67109537421874,78.30711085376763,83,61,67,73
13. Chemical engineers,Chemical engineers,13,0.1875484104686037,16.332054291980672,6.514391153969081,62.5,62.299999,67.675636,68.35032671147619,69.76941574832416,60.56209847669957,82.68113530616472,81.28496741723986,79.4042761663605,84,66,71,73
14. Architectural engineers,Architectural engineers,14,0.4417908411661846,14.729556137932398,6.084711314935182,67.6,57,61.025257,57.6281995897546,59.01696247479475,50.93145627304626,65.67036792569797,66.37149711189484,61.21638843388874,66,72,69,73
15. Civil engineers and surveyors,Civil engineers and surveyors,15,0.5311660057722519,14.408784077705612,6.222384954071261,67.6,53.799999,59.767265,58.4016486466256,59.503786146627775,52.07443358952379,61.665178842644465,71.11165396347842,66.36322151121601,68,70,69,73
16. System consultants and designers,System consultants and designers,16,1.1981781190638048,15.161507600802482,6.328464906039416,62.5,59.400002,63.547924,62.90585197781557,63.90636543972643,58.14914636413588,71.43737930801792,75.39262030359772,73.01928799699671,76,51,71,75.39
17. Software creators,Software creators,17,0.5634825309723608,15.13351595994396,6.156158837497478,62.5,55.799999,61.188984,59.781724414767986,61.408748340757,53.76773331763866,70.88770496395627,68.87773329040125,67.59873949976584,72,51,71,75.39
18. Other data processing and communication engineers,Other data processing and communication engineers,18,0.23488789290087758,14.921209137291328,6.258633291883854,62.5,58.099998,61.936398,60.31252278713044,61.9379045057929,53.810065810841536,68.31003385240642,72.3296837174137,71.46555962707944,75,51,71,75.39
19. Other engineers,Other engineers,19,0.13473898948238208,15.095714629808775,6.282292725897626,62.5,56.700001,63.177673,61.404450867418916,63.059715575668996,50.9526225196477,69.41043507715372,73.37845333702262,71.1321626791501,77,56,69,73
20. Doctors,Doctors,20,0.4651686518885261,16.502313636103693,7.038143858833112,83.8,80.699997,77.542068,89.32444525368402,91.97280843323036,73.26184643756108,87.69763985133157,92.62984324079997,91.07275072203063,96,78,88,78.57
21. Dental surgeons,Dental surgeons,21,0.178720810679027,16.281131023235552,6.498012373402559,83.8,77.900002,72.39856,73.94645812295462,71.50504796964191,62.78455436985033,86.07376500260689,78.95709729680286,81.14361488022672,90,70,85,78.57
22. Veterinary surgeons,Veterinary surgeons,22,0.0409267514084153,16.393065475030774,6.2033388516832675,61.9,70.400002,69.845512,69.51808313067357,73.72750386279266,61.62041080677136,87.01870061957608,70.95184734132272,67.69324323592613,77,61,83,78.57
23. Pharmacists,Pharmacists,23,0.3815740173780231,16.09549453173223,5.929090453370607,61.9,70,67.392616,64.01294572588583,62.38239568442305,59.84244609225075,84.74990584107084,61.26109939628819,71.12709190618546,75,64,74,78.57
24. Public health nurses,Public health nurses,24,0.08178710577113939,14.641267248620762,5.8612680423683186,56.6,65.900002,59.321617,54.579900365615934,50.000141422583084,55.03770811372481,66.7065514705242,59.358829077062644,66.34885925333653,72,54,43,63.21
26. Nurses (including assistant nurses),Nurses (including assistant nurses),26,2.240075945990638,13.918667531897645,5.736866059623746,56.6,48,53.877853,49.1657569675189,54.74138066130471,50.27530262840175,55.179153792219665,52.77624553054563,57.38543575936466,60,54,43,63.21
27. Diagnostic radiographers,Diagnostic radiographers,27,0.0888710517699332,14.487519735979614,6.192910288842445,56.6,58.599998,60.587872,57.18839522408285,59.08046121459906,52.30726230213959,65.01735810629614,70.72854920912408,73.05835942151033,77,58,57,61.73
28. Clinical laboratory technicians,Clinical laboratory technicians,28,0.14338289802121046,14.488244317437985,5.984594857144514,56.6,60.700001,58.880745,54.53440336227058,60.49859973689526,53.005748439986974,64.60703141826674,62.64596606758731,66.40092991863354,72,53,51,60.63
"29. Physiotherapists, occupational therapists","Physiotherapists, occupational therapists",29,0.1595959321501184,14.583897689699983,5.9385261905062325,56.6,57,57.475777,54.079433328817046,56.77334033504255,52.921083453581225,64.16429682627566,59.51689307638476,62.78896001269121,63,51,60,60.63
"30. Certified orthoptists, speech therapists","Certified orthoptists, speech therapists",30,0.020027308250045055,15.255978926697393,5.665033058700113,56.6,61.599998,58.820286,54.04910199325348,57.32366274667989,53.68306833123292,73.08678918657445,51.1275092636044,57.265108318319854,60,60,60,58.95
32. Dental technicians,Dental technicians,32,0.09068508363430075,14.019983117086488,5.692641159303096,56.6,55.099998,54.250351,48.953437618573915,51.41827994487928,43.90426240136956,55.83955028101553,51.04446432706781,40.594671761764914,40,47,38,45.98
33. Nutritionists,Nutritionists,33,0.16147288429565154,14.588177594047217,5.598755729556733,56.6,56.099998,56.443501,50.57616407122485,57.4506602262885,51.2489499720678,69.65323175400479,48.03944773449843,51.90538386357772,52,52,51,58.95
"34. Masseurs, chiropractors, acupuncturists, moxacauterists and judo-orthopedists","Masseurs, chiropractors, acupuncturists, moxacauterists and judo-orthopedists",34,0.19851996152802764,14.105614566525148,5.28359365547602,56.6,61.200001,51.340527,46.81507846134232,49.809645203170156,41.1526503431829,57.853005063062575,40.75019513367114,39.36309204939442,36,51,60,60.63
35. Other health care workers,Other health care workers,35,0.27858693112506,14.308358348214266,5.503192864602044,56.6,55.700001,53.72253,50.136359705553105,54.74138066130471,47.20619687119355,60.66729403645409,47.401810349312726,50.98266817815472,52,45,51,60.63
36. Childcare workers,Childcare workers,36,0.84619050959659,14.036138265596302,5.325863012804246,50.5,53.799999,51.513535,44.63122230076536,53.302075892407075,46.12671829452032,63.35185187914616,39.27805216056016,41.675148299853234,36,23,25,45.77
37. Other social welfare specialist professionals,Other social welfare specialist professionals,37,0.7372993040618888,14.301915013072433,5.7077033718149,56.6,55.599998,57.072754,51.88041150045831,58.08564762433157,50.35996761480749,61.85807395186369,51.16946621427227,52.762989283887336,55,52,51,76.83
"38. Judges, public prosecutors and attorneys","Judges, public prosecutors and attorneys",38,0.05224418681601416,16.659214999826016,6.724484473346571,80.9,76.099998,73.586945,81.40796667159256,80.4795365286507,71.22988676382323,88.68842103972474,86.18830833330188,83.94284433916678,90,73,85,80.43
39. Patent attorneys and judicial scriveners40 Other legal workers,Patent attorneys and judicial scriveners40 Other legal workers,39,0.04213064109424876,15.6985560260077,6.1730710706468646,66.5,75.199997,67.192368,62.42055060879847,63.250211795081924,57.78932017191147,78.34356947544173,69.10243088773252,65.49956174691229,76,71,82,80.43
40. Other legal workers,Other legal workers,40,0.04791398114351617,15.115985891851007,6.13101874766315,66.5,63.900002,63.687149,59.918215424804046,60.64676346310531,57.38716148648419,71.2751673971549,69.58521995539854,72.25463470289247,83,71,82,80.43
41. Certified public accountants,Certified public accountants,41,0.03174521862794377,16.005176261785476,6.7147349918522785,66.5,70,72.900864,75.06871753880667,75.1668086316903,67.14480116974612,83.33270223224248,86.59773934370425,85.01905308730758,89,62,69,68.4
42. Licensed tax accountants,Licensed tax accountants,42,0.08878657920488407,15.64300938725767,6.416436121938812,66.5,70.599998,69.470482,63.7551293735955,64.98584401639965,57.49299271949137,76.78309110733083,76.07662099826904,76.91874458425588,84,62,69,68.4
43. Certified social insurance and labor consultant,Certified social insurance and labor consultant,43,0.031047717958928987,15.528787237419104,5.702820255978488,60.1,64.900002,63.343082,57.26422356299177,59.440287406823465,52.64592224776256,77.28093405161714,54.07127967095109,55.264351126286755,60,56,69,68.4
"44. Other management, finance, and insurance professionals","Other management, finance, and insurance professionals",44,0.12658206524343968,15.531911236835358,6.228946194788725,66.5,62.299999,66.89402,62.72386396443416,63.92753168632787,55.35520181274635,76.61190434545178,71.29616048844025,72.31467591575897,80,57,69,68.4
45. Kindergarten teachers,Kindergarten teachers,45,0.1519942502719886,14.397890928824213,5.512525439166739,55.3,59.099998,55.47633,48.57429592402931,61.32408335435126,48.85716410610554,68.57092504697765,45.457017406679775,44.70486529620461,43,49,43,63.79
46. Elementary school teachers,Elementary school teachers,46,0.8864756648567426,15.859002289511995,6.279166484680434,60.1,64.800003,69.164993,69.36642645285573,74.8704811792702,66.02299009987001,82.71541400164772,74.5886789933341,71.01296398595419,75,57,66,63.79
47. Junior high school teachers,Junior high school teachers,47,0.4763266456026137,15.996855113132058,6.303134214738892,60.1,65.599998,69.633835,71.12564391554272,74.74348369966158,65.72666264744991,83.93185473349925,75.47576554739173,68.48863923032395,72,60,69,71.89
48. Senior high school teachers,Senior high school teachers,48,0.5411201749956811,16.226483535269168,6.289107635138836,60.1,64.800003,70.246231,70.48868586870778,72.66919153272087,63.948697932929306,85.41490585003373,74.98545333038483,73.1036838036892,77,60,69,71.89
49. Special needs education school teachers,Special needs education school teachers,49,0.13791054891338606,15.962630206514726,6.247105972166471,60.1,64.199997,68.472015,68.72946840602079,72.11886912108353,66.21348631928294,83.39125454157043,73.14108017729997,72.65283978860985,75,62,66,73.49
50. University professors,University professors,50,0.38964044640898593,17.593180834075415,6.4389275119918254,78.6,78.300003,73.02401,73.94645812295462,78.55340808792003,62.234231958213,95.46426375567128,79.22929789099611,82.45115359202931,86,78,77,82.71
51. Other teachers,Other teachers,51,0.20850558751591775,14.801193015834714,5.7371359205978925,55.3,57.599998,58.572174,54.68606004008843,58.00098263792583,50.76212630023477,66.78024877827694,55.00236622646215,61.316297855063276,64,62,66,68.47
52. Workers in religion,Workers in religion,52,0.18176278229552548,15.173848138536933,5.573315556888674,57.1,62.299999,60.593887,53.98843932212634,55.778526744775064,41.9781339606389,72.20343157278913,49.66907936205861,45.61350477002176,43,60,53,73.02
53. Authors,Authors,53,0.06555025607300469,15.339027627844747,5.351468770754227,62.7,67.5,59.586681,52.456706876166116,54.69904816810184,49.5979827371558,74.76730412982542,43.796596459180776,47.29924350160386,49,58,65,80.08
"54. Journalists, editors","Journalists, editors",54,0.16648225070488284,15.320473174527491,6.056229130175932,49.8,65.400002,64.11573,60.03954076705832,64.45668785136377,52.28609605553815,74.72734666606785,65.01490630654389,64.75287427266437,72,58,65,80.08
"55. Sculptors, painters and industrial artists","Sculptors, painters and industrial artists",55,0.0630142825065388,14.289812622087766,4.7487133268748005,62.7,58,47.128735,43.82744190833079,46.12671829452032,43.777264921760946,60.95258175764627,28.797305588709346,32.729881547708324,21,57,54,73.32
56. Designers,Designers,56,0.3679108114094223,14.465320030453539,5.591921127553319,60.9,56.599998,54.949963,50.68232374569734,53.810065810841536,47.67185429642514,63.45628959159405,50.147228868801776,49.48645411219442,49,49,53,67.45
"57. Photographers, film operators","Photographers, film operators",57,0.12722342564786968,14.185549605509706,5.444247314287059,60.9,55.5,52.048058,48.57429592402931,51.94743610991518,40.8563228907628,59.43300732954409,45.65173030835482,44.62435570138951,47,46,48,61.73
58. Musicians,Musicians,58,0.0518918783689473,14.759701376679676,4.930936038272069,62.7,70.099998,51.371243,47.75534986381295,50.63512882062616,45.38589966347007,66.7602463094153,33.383484806824285,43.95435257263688,47,45,64,73.32
"59. Dancers, actors, directors and performers","Dancers, actors, directors and performers",59,0.10487769357873857,14.8044290689837,5.782706364757964,64.9,64.199997,57.525749,55.777988120376904,59.927111078656495,47.9470155022438,68.0188339620212,57.03059379668098,60.48201082887918,63,57,61,77.15
60. Librarians and curators,Librarians and curators,60,0.06512215276336741,15.500277625428014,5.50510192997489,60.1,65.699997,59.265724,52.83584857071072,65.95949136006571,50.31763512160462,78.29235653381596,45.83629098316811,49.29674046487942,43,54,65,72.95
61. Private tutors (for music),Private tutors (for music),61,0.1645800827933457,14.904130738334233,4.3164793757633335,55.3,62.900002,47.789364,40.83980535531926,48.66666788669262,41.02565286357429,71.57766085669509,16.70881956900833,35.58705993252449,27,62,65,68.47
"62. Private tutors (for dance, actor, direction, performance)","Private tutors (for dance, actor, direction, performance)",62,0.036558741480309735,13.60110232534861,4.721362702756858,55.3,57.099998,43.706966,40.80947401975569,48.30684169446821,40.94098787716854,52.711264613509314,25.947359439266428,43.06854276342689,43,62,65,68.47
63. Private tutors (for sports),Private tutors (for sports),63,0.1518829610807314,14.031954833689515,4.963097855529606,55.3,56.099998,48.061386,44.4037372840386,52.49775852155251,40.8563228907628,58.108667138242865,31.459273074725196,42.107149227267186,39,62,65,68.47
64. Private tutors (for study),Private tutors (for study),64,0.2449298536968692,15.483001961670277,4.874882993035673,55.3,64.699997,54.53688,49.287082309773176,55.41870055255066,44.03125988097817,77.46306281351433,30.888621100730774,40.725844488214925,38,62,65,68.47
65. Private tutors (not classified elsewhere),Private tutors (not classified elsewhere),65,0.20421752369719762,14.37642469303289,4.39825402145637,55.3,61.200001,45.941288,40.36966965408394,50.65629506722759,39.39585187526372,63.56469758310142,19.52365968001091,34.54917600771158,24,62,65,68.47
66. Sports professionals,Sports professionals,66,0.020143812338105353,13.614625967929927,6.199023909010924,64.9,55.099998,53.098015,56.687928187283966,58.59363754276603,47.3543605974036,51.09864721899095,69.29528212112821,67.61743343706347,77,49,54,61.96
67. Communication equipment operators,Communication equipment operators,67,0.042816885118197805,14.613771024253262,6.385729709299284,49,54.900002,60.027725,60.58550480720256,62.14956697180725,53.93706329045015,63.93543828817977,76.58696511503517,75.4681137926605,84,49,57,61.73
68. Specialist professionals not classified elsewhere,Specialist professionals not classified elsewhere,68,0.4482776033624745,15.171796150139558,5.6282438236578285,66.5,67.300003,59.721687,55.39884642583229,59.969443571859365,49.08999281872134,72.26770302068321,53.25199119974279,58.019193741478695,64,48,55,60.89
69. General affairs and human affairs workers,General affairs and human affairs workers,69,2.3760835328571233,13.815095381634722,5.71591303536935,49.8,54.5,52.739723,50.8188147557334,61.74740828637997,46.444211993541856,55.03457734908572,52.96063160175581,54.325400497332296,60,37,39,56.27
70. Reception and guidance clerical workers,Reception and guidance clerical workers,70,0.6411039751014613,13.373897013644804,4.861140393700534,46.3,56.400002,44.242378,39.96019662397576,54.14872575646451,40.559995438342696,49.75148441421135,26.293198232111706,31.98231917041637,24,38,52,54.96
71. Telephone receptionists,Telephone receptionists,71,0.40692919005971195,13.573401167162894,5.093737508663323,45.9,54,46.407745,41.628420079972045,53.153912166197024,41.59714152181305,52.30264433021761,31.125927767366605,35.60970592930535,32,38,52,54.96
72. Comprehensive clerical workers,Comprehensive clerical workers,72,4.8608167364242165,13.611810556456923,5.4835342011194275,49.8,55.400002,50.44313,48.1951542294847,61.02775590193116,45.4070659100715,52.61000687922956,45.41679194597619,47.96497689827654,46,37,45,55.33
73. Other general clerical workers,Other general clerical workers,73,7.288117999705131,14.486176911481753,5.981667316970147,49.8,58.599998,58.39254,56.24812382161222,63.80053420671925,48.34917418767108,63.47198001893977,63.03769639942765,64.45052954422451,72,37,39,56.27
74. Accountancy clerks,Accountancy clerks,74,3.2809386565202643,13.634700460077136,5.533226426109198,50.5,57.799999,50.792568,48.42263924621147,61.95907075239433,46.19021703432463,52.74054577701893,47.2373434191202,50.524157936575804,52,45,51,55.8
75. Production-related clerical workers,Production-related clerical workers,75,1.0487842176037745,13.704355327422453,5.901497846698374,46.3,47.5,52.622688,53.093664923001064,59.52495239322921,43.94659489457243,52.493929300142824,59.43308057246029,58.28681630233283,63,32,36,44.97
76. Sales clerks,Sales clerks,76,1.375798012177273,14.213976194590835,5.8965435647820925,49.8,52.799999,55.82962,53.851948312090286,62.297730698017304,48.7724991196998,60.614879310967154,58.27254431533439,57.763395805502164,60,37,39,56.27
